title,author,genre,level,number_in,number_out,available
1984,George Orwell,Classics,Z,1,0,TRUE
145th Street: Short Stories,Walter Dean Myers,Realistic Fiction,Z,1,0,TRUE
A Break with Charity: A Story About the Salem Witch Trials,Ann Rinaldi,Historical Fiction,X,1,0,TRUE
A Cool Moonlight,Angela Johnson,Realistic Fiction,X,2,0,TRUE
A Corner of the Universe,Ann M. Martin,Realistic Fiction,Y,1,0,TRUE
A James Bond Adventure: Hurricane Gold,Charlie Higson,Adventure,W,2,0,TRUE
A Jigsaw Jones Mystery: The Case of the Christmas Snowman (Book 2),James Preller,Mystery,N,1,0,TRUE
A Jigsaw Jones Mystery: The Case of the Secret Valentine (Book 3),James Preller,Mystery,N,1,0,TRUE
A Jigsaw Jones Mystery: The Case of the Spooky Sleepover (Book 4),James Preller,Mystery,N,1,0,TRUE
A Jigsaw Jones Mystery: The Case of the Stolen Baseball Cards (Book 5),James Preller,Mystery,N,1,0,TRUE
A Little Princess,Frances Hodgson Burnett,Classics,O,1,0,TRUE
A Long Walk to Water,Linda Sue Park,Realistic Fiction,RST,6,0,TRUE
Bluford High: A Matter of Trust,Anne Schraff,Realistic Fiction,Z,1,0,TRUE
A Series of Unfortunate Events: The Austere Academy (Book 5),Lemony Snicket,Adventure,V,5,0,TRUE
A Series of Unfortunate Events: The Bad Beginning (Book 1),Lemony Snicket,Adventure,V,3,0,TRUE
A Series of Unfortunate Events: The Carniverous Carnival (Book 9),Lemony Snicket,Adventure,V,2,0,TRUE
A Series of Unfortunate Events: The End (Book 13),Lemony Snicket,Adventure,V,3,0,TRUE
A Series of Unfortunate Events: The Ersatz Elevator (Book 6),Lemony Snicket,Adventure,V,5,0,TRUE
A Series of Unfortunate Events: The Grim Grotto (Book 11),Lemony Snicket,Adventure,V,2,0,TRUE
A Series of Unfortunate Events: The Miserable Mill (Book 4),Lemony Snicket,Adventure,V,4,0,TRUE
A Series of Unfortunate Events: The Penultimate Peril (Book 12),Lemony Snicket,Adventure,V,3,0,TRUE
A Series of Unfortunate Events: The Reptile Room (Book 2),Lemony Snicket,Adventure,V,2,0,TRUE
A Series of Unfortunate Events: The Slippery Slope (Book 10),Lemony Snicket,Adventure,V,2,0,TRUE
A Series of Unfortunate Events: The Vile Village (Book 7),Lemony Snicket,Adventure,V,3,0,TRUE
A Series of Unfortunate Events: The Wide Window (Book 3),Lemony Snicket,Adventure,V,5,0,TRUE
A Series of Unfortunate Events: The Hostile Hospital (Book 8),Lemony Snicket,Adventure,V,2,0,TRUE
A Single Shard,Linda Sue Park,Historical Fiction,U,1,0,TRUE
A Step From Heaven,An Na,Multicultural,OPQ,1,0,TRUE
A Swiftly Tilting Planet,Madeleine L'Engle,Science Fiction,V,1,0,TRUE
A Tale Dark and Grimm,Adam Gidwitz,Mystery/Horror,V,1,0,TRUE
A Wind in the Door,Madeleine L'Engle,Fantasy,W,1,0,TRUE
A Wrinkle in Time,Madeleine L'Engle,Science Fiction,W,3,0,TRUE
A Zombie's Guide to the Human Body: Tasty Tidbits From Head to Toe,Paul Beck,Non-Fiction,X,1,0,TRUE
Adam Canfield of the Slash,Michael Winerip,Mystery,U,1,0,TRUE
Adrift: Seventy-six Days Lost at Sea,Steven Callahan,Memoir,Z,1,0,TRUE
Adventures of Amelia Bedelia,Peggy Parish,Humor,L,1,0,TRUE
Alex Rider: Ark Angel (Book 6),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Crocodile Tears (Book 8),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Eagle Strike (Book 4),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Point Blank (Book 2),Anthony Horowitz,Adventure,W,2,0,TRUE
Alex Rider: Scorpia Rising (Book 9),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Skeleton Key (Book 3),Anthony Horowitz,Adventure,W,1,0,TRUE
Alex Rider: Snakehead (Book 7),Anthony Horowitz,Adventure,W,1,0,TRUE
Alice's Adventure in Wonderland,Lewis Carroll,Classics,T,1,0,TRUE
Alien on a Rampage,Clete Barrett Smith,Science Fiction,,1,0,TRUE
Almost Home,Joan Bauer,Realistic Fiction,Z,2,0,TRUE
An Island Like You: Stories of the Barrio,Judith Ortiz Cofer,Short Stories,Z,1,0,TRUE
Animorphs: The Alien (Book 8),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Beginning (54),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Change (Book 13),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Conspiracy (Book 31),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Departure (Book 19),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Discovery (Book 20),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Encounter (Book 3),K.A. Applegate,Science Fiction,T,2,0,TRUE
Animorphs: The Escape (Book 15),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Forgotten (Book 11),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Invasion (Book 1),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Predator (Book 5),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Pretender (Book 23),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Prophesy (Book 34),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Return (Book 48),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Secret (Book 9),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Separation (Book 32),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Sickness (Book 29),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Suspicion (Book 24),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Threat (Book 21),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Unknown (Book 14),K.A. Applegate,Science Fiction,T,1,0,TRUE
Animorphs: The Warning (Book 16),K.A. Applegate,Science Fiction,T,2,0,TRUE
Any Small Goodness: A novel of the Barrio,Tony Johnston,Multicultural,S,1,0,TRUE
"Are You There God? It's Me, Margaret.",Judy Blume,Realistic Fiction,T,2,0,TRUE
Artemis Fowl: Artemis Fowl (Book 1),Eoin Colfer,Fantasy,X,5,0,TRUE
Artemis Fowl: The Enternity Code (Book 3),Eoin Colfer,Fantasy,X,2,0,TRUE
Artemis Fowl: The Eternity Code (Book 3),Eoin Colfer,Fantasy,X,2,0,TRUE
Artemis Fowl: The Opal Deception (Book 4),Eoin Colfer,Fantasy,X,1,0,TRUE
Artemis Fowl: The Time Paradox (Book 6),Eoin Colfer,Fantasy,X,1,0,TRUE
At Her Majesty's Request: An African Princess in Victorian England,Walter Dean Myers,Historical Fiction,X,1,0,TRUE
Bad Boy,Walter Dean Myers,Memoir,Y,1,0,TRUE
Baseball in April and Other Stories,Gary Soto,Short Stories,U,1,0,TRUE
Beast Quest: Ferno The Fire Dragon (Book 1),Adam Blade,Fantasy,N,1,0,TRUE
Beast Quest: Sepron The Sea Serpent (Book 2),Adam Blade,Fantasy,N,1,0,TRUE
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,Fantasy,Y,2,0,TRUE
Because of Mr. Terupt,Rob Buyea,Realistic Fiction,N,1,0,TRUE
Because of Winn-Dixie,Kate DiCamillo,Realistic Fiction,M,2,0,TRUE
Becoming Joe DiMaggio,Maria Testa,Poetry,T,1,0,TRUE
Becoming Naomi Leon,Pam Munoz Ryan,Realistic Fiction,V,1,0,TRUE
Before We Were Free,Julia Alvarez,Historical Fiction,X,1,0,TRUE
Between Madison and Palmetto,Jacqueline Woodson,Realistic Fiction,OPQ,3,0,TRUE
Between Shades of Gray,Ruta Sepetys,Historical Fiction,R,1,0,TRUE
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,Non-Fiction/LGBT,Z,1,0,TRUE
Big Mouth & Ugly Girl,Joyce Carol Oates,Realistic Fiction,RST,1,0,TRUE
"Black Potatoes: The Story of the Great Irish Famine, 1845-1850",Susan Campbell Bartoletti,Non-Fiction,Y,1,0,TRUE
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Non-Fiction,Z,1,0,TRUE
Bloomability,Sharon Creech,Realistic Fiction,S,1,0,TRUE
Blubber,Judy Blume,Realistic Fiction,T,2,0,TRUE
Bluford High: A Matter of Trust (Book 2),Anne Schraff,Realistic Fiction,Z,1,0,TRUE
Bluford High: Blood Is Thicker (Book 8),Paul Langan & D.M. Blackwell,Realistic Fiction,Z,1,0,TRUE
Bluford High: Brothers in Arms (Book 9),Paul Langan & Ben Alirez,Realistic Fiction,Z,1,0,TRUE
Bluford High: Lost and Found (Book 1),Anne Schraff,Realistic Fiction,Z,1,0,TRUE
Bluford High: Payback (Book 6),Paul Langan,Realistic Fiction,Z,1,0,TRUE
Bluford High: Secrets in the Shadows (Book 3),Anne Schraff,Realistic Fiction,Z,3,0,TRUE
Bluford High: Someone to Love Me (Book 4),Anne Schraff,Realistic Fiction,Z,2,0,TRUE
Bluford High: Summer of Secrets (Book 10),Paul Langan,Realistic Fiction,Z,1,0,TRUE
Bluford High: The Bully (Book 5),Paul Langan,Realistic Fiction,Z,1,0,TRUE
Bluford High: The Fallen (Book 11),Paul Langan,Realistic Fiction,Z,1,0,TRUE
Bomb: The Race to Build--and Steal--the World's Most Dangerous Weapon,Steve Sheinkin,Non-Fiction,Z,1,0,TRUE
Bound to You,Christopher Pike,Romance/Thriller,Z,1,0,TRUE
Bridge to Terabithia,Katherine Paterson,Fantasy,T,2,0,TRUE
Bronx Masquerade,Nikki Grimes,Realistic Fiction/Poetry,Z,3,0,TRUE
"Bud, Not Buddy",Christopher Paul Curtis,Historical Fiction,U,2,0,TRUE
Bunnicula: A Rabbit-Tale of Mystery,James Howe,Mystery,Q,2,0,TRUE
Call Me Maria,Judith Ortiz Coler,Realistic Fiction,V,1,0,TRUE
Cam Jansen: The Mystery at the Haunted House (Book 13),David A. Adler,Mystery,L,2,0,TRUE
Cam Jansen: The Mystery of the Dinosaur Bones (Book 3),David A. Adler,Mystery,L,1,0,TRUE
Cam Jansen: The Mystery of the U.F.O. (Book 2),David A. Adler,Mystery,L,1,0,TRUE
Charlie and the Great Glass Elevator,Roald Dahl,Fantasy/Humor,R,3,0,TRUE
Charlie and the Chocolate Factory,Roald Dahl,Fantasy/Humor,R,4,0,TRUE
Charlie Bone and the Hidden King (Book 5),Jenny Nimmo,Adventure,U,1,0,TRUE
Charlotte's Web,E.B. White,Fantasy/Classics,R,3,0,TRUE
"Chet Gecko Mysteries: Farewell, My Lunchbag (Book 3)",Bruce Hale,Mystery,O,1,0,TRUE
Chet Gecko Mysteries: The Malted Falcon (Book 7),Bruce Hale,Mystery,O,1,0,TRUE
Chicken Boy,Frances O'Roark Dowell,Realistic Fiction,W,2,0,TRUE
Children of the River,Linda Crew,Multicultural,Y,1,0,TRUE
Childtimes: A Three-Generation Memoir,Eloise Greenfield & Lessie Jones Little,Memoir,X,1,0,TRUE
Chinatown Mystery: The Case of the Goblin Pearls (Book 1),Christopher Yip,Mystery,RST,1,0,TRUE
Chronicles of Ancient Darkness: Soul Eater (Book 3),Michelle Paver,Adventure,OPQ,2,0,TRUE
Chronicles of Ancient Darkness: Spirit Walker (Book 2),Michelle Paver,Adventure,OPQ,2,0,TRUE
Chronicles of Ancient Darkness: Wolf Brother (Book 1),Michelle Paver,Adventure,OPQ,2,0,TRUE
Circle of Magic: Daja's Book (Book 3),Tamora Pierce,Fantasy,UVW,1,0,TRUE
Circle of Magic: Sandry's Book (Book 1),Tamora Pierce,Fantasy,UVW,1,0,TRUE
Circle of Magic: Tris's Book (Book 2),Tamora Pierce,Fantasy,UVW,1,0,TRUE
Cirque Du Freak: Tunnels of Blood (Book 3),Darren Shan,Mystery/Horror,Z,1,0,TRUE
Code Talker: A Novel About the Navajo Marines of World War Two,Joseph Bruchac,Historical Fiction,W,1,0,TRUE
Come A Stranger,Cynthia Voigt,Realistic Fiction,S,1,0,TRUE
Confessions of a Murder Suspect,James Patterson & Maxine Paetro,Adventure,,1,0,TRUE
Coraline,Neil Gaiman,Mystery,W,1,0,TRUE
Cover-Up: Mystery at the Super Bowl,John Feinstein,Mystery/Sports,,1,0,TRUE
Crystal,Walter Dean Myers,Realistic Fiction,W,3,0,TRUE
"Curveball, The Year I Lost My Grip",Jordan Sonnenblick,Realistic Fiction/Sports,X,1,0,TRUE
Daniel X: The Dangerous Days Daniel X (Book 1),James Patterson & Michael Ledwidge,Science Ficiton,,1,0,TRUE
Daniel X: Watch the Skies (Book 2),James Patterson & Ned Rust,Science Ficiton,,1,0,TRUE
Danny the Champion of the World,Roald Dahl,Fantasy/Humor,T,1,0,TRUE
Dare Truth or Promise,Paula Boock,Realistic Fiction/LQBT,UVW,1,0,TRUE
Dark Victory: A Novel is the Alien Resistance,Brendan DuBois,Science Fiction,Z,1,0,TRUE
Darkness Before Dawn,Sharon M. Draper,Realistic Fiction,Z,1,0,TRUE
Darnell Rock Reporting,Walter Dean Myers,Realistic Fiction,S,3,0,TRUE
Dear America: A Coal Miner's Bride: The Diary of Anetka Kaminska,Susan Campbell Bartoletti,Historical Fiction,UVW,2,0,TRUE
Dear America: A Light in the Storm: The Civil War Diary of Amelia Martin,Karen Hesse,Historical Fiction,UVW,1,0,TRUE
"Dear America: A Picture of Freedom: The Diary of Clotee, a Slave Girl",Patricia C. Mckissack,Historical Fiction,UVW,1,0,TRUE
Dear America: A Time for Courage: The Suffragette Diary of Kathleen Bowen,Kristina Gregory,Historical Fiction,UVW,1,0,TRUE
Dear America: A Time for Courage: The Suffragette Diary of Kathleen Bowen,Kathryn Lasky,Historical Fiction,UVW,1,0,TRUE
"Dear America: Dreams in the Golden Country: The Diary of Zipporah Feldman, a Jewish Immigrant Girl",Kathryn Lasky,Historical Fiction,UVW,1,0,TRUE
Dear America: Early Sunday Morning: The Pearl Harbor Diary of Amber Billows,Barry Denenberg,Historical Fiction,UVW,1,0,TRUE
Dear America: My Secret War: The World War II Diary of Madeline Beck,Mary Pope Osborne,Historical Fiction,UVW,1,0,TRUE
Dear America: Seeds of Hope: The Gold Rush Diary of Susanna FairChild,Kristina Gregory,Historical Fiction,UVW,1,0,TRUE
"Dear America: So Far from Home: The Diary of Mary Driscoll, an Irish Mill Girl",Barry Denenberg,Historical Fiction,UVW,1,0,TRUE
Dear America: Standing in the Light: The Captide Diary of Catharine Carey Logan,Mary Pope Osborne,Historical Fiction,UVW,1,0,TRUE
Dear America: The Great Railroad Race: The Diary of Libby West,Kristina Gregory,Historical Fiction,UVW,1,0,TRUE
Dear America: The Winter of Red Snow: The Revolutionary war Diary of Abgail Jane Stewart,Kristina Gregory,Historical Fiction,UVW,1,0,TRUE
Dear America: When Will This Cruel Was be Over?: The Civil War Diary of Emma Simpson,Barry Denenberg,Historical Fiction,UVW,1,0,TRUE
"Dear Dr. Bell... Your Friend, Helen Keller",Judith St. Geroge,Historical Fiction,UVW,1,0,TRUE
Dear Mr. Henshaw,Beverly Clearly,Realistic Fiction,Q,2,0,TRUE
Decisive: How to Make Better Choices in Life and Work,Chip Heath & Dan Heath,Non-Fiction,Z,1,0,TRUE
"Define ""Normal""",Julie Anne Peters,Realistic Fiction,Y,1,0,TRUE
Deltora Quest: City of The Rats (Book 3),Emily Rodda,Fantasy,N,1,0,TRUE
Deltora Quest: Dread Mountain (Book 5),Emily Rodda,Fantasy,N,1,0,TRUE
Deltora Quest: The Forests of Silence (Book 1),Emily Rodda,Fantasy,N,1,0,TRUE
Deltora Quest: The Lake of Tears (Book 2),Emily Rodda,Fantasy,N,3,0,TRUE
Deltora Quest: The Shifting Sands (Book 4),Emily Rodda,Fantasy,N,3,0,TRUE
Deltora ShadowLands:  The ShadowLands (Book 3),Emily Rodda,Fantasy,N,5,0,TRUE
Diary of a Wimpy Kid (Book 1),Jeff Kinney,Humor,T,1,0,TRUE
Diary of a Wimpy Kid: Hard Luck,Jeff Kinney,Humor,T,1,0,TRUE
Tillerman: Dicey's Song (Book 2),Cynthia Voigt,Realistic Fiction,X,1,0,TRUE
Dog Walker,Karen Spafford-Fitz,Realistic Fiction,O,1,0,TRUE
Dogsong,Gary Paulson,Adventure,V,1,0,TRUE
Double Dutch,Sharon M. Draper,Realistic Fiction,T,3,0,TRUE
Dragon Rider,Cornelia Funke,Fantasy,V,1,0,TRUE
"Drums, Girls, and Dangerous Pie",Jordan Sonnenblick,Realistic Fiction,Y,1,0,TRUE
Eating Animals,Jonathan Safran Foer,Non-Fiction,Z,1,0,TRUE
El Guero: A True Adventure Story,Elizabeth Borton de Trevino,Multicultural,T,1,0,TRUE
Elephant Run,Roland Smith,Historical Fiction,Y,1,0,TRUE
Eleven,Patricia Reilly Giff,Mystery,N,1,0,TRUE
Ella Enchanted,Gail Carson Levine,Fantasy,U,3,0,TRUE
Emily Windsnap and the Castle in the Mist,Liz Kessler,Fantasy,V,1,0,TRUE
Empty,Suzanne Weyn,Adventure,Z,1,0,TRUE
Ender's Game,Orson Scott Card,Science Fiction,Z,1,0,TRUE
Ereth's Birthday,Avi,Fantasy,S,1,0,TRUE
Escape From Mr. Lemoncello's Library,Chris Grabenstein,Mystery,V,1,0,TRUE
Esio Trot,Roald Dahl,Humor,S,1,0,TRUE
Esperanza Rising,Pam Munoz Ryan,Multicultural,V,2,0,TRUE
Everest: The Climb (Book 2),Gordon Korman,Adventure,T,1,0,TRUE
Everest: The Contest (Book 1),Gordon Korman,Adventure,T,1,0,TRUE
Everest: The Summit (Book 3),Gordon Korman,Adventure,T,1,0,TRUE
"Every You, Every Me",David Levithan,Realistic Fiction,Z,1,0,TRUE
Fairest,Gail Carson Levine,Fantasy,X,1,0,TRUE
Fairway Phenom,Matt Christopher,Realistic Fiction/Sports,Q,1,0,TRUE
Famous Dead People: Henry VIII and His Chopping Block,Alan Macdonald,Biography,RST,1,0,TRUE
Fantastic Mr. Fox,Roald Dahl,Fantasy/Humor,P,2,0,TRUE
Far Flung Adventures: Corby Flood (Book 2),Paul Stewart & Chris Riddell,Adventure,,1,0,TRUE
Far Flung Adventures: Fergus Crane (Book 1),Paul Stewart & Chris Riddell,Adventure,,1,0,TRUE
Flesh and Blood So Cheap: The Triangle Fire and Its Legacy,Albert Marrin,Non-Fiction,XYZ,1,0,TRUE
Flowers for Algernon,Daniel Keyes,Science Fiction,Z,1,0,TRUE
Flush,Carl Hiaasen,Realistic Fiction,W,2,0,TRUE
Fourth Grade Rats,Jerry Spinelli,Realistic Fiction,Q,1,0,TRUE
Freedom's Children: Young Civil Roghts Activists Tell Their Own Stories,Ellen Levine,Memoir,T,1,0,TRUE
Friction,E.R. Frank,Realistic Fiction,Z,1,0,TRUE
Gathering Blue,Lois Lowry,Dytopian,X,1,0,TRUE
Geek Girl (Book 1),Holly Smale,Realistic Fiction,Z,1,0,TRUE
Geek Magnet,Kieran Scott,Realistic Fiction,UVW,1,0,TRUE
Generation Green: The Ultimate Teen Guide to Living an Eco-Friendly Life,Linda Silvertsen & Tosh Silvertsen,Non-Fiction,Z,1,0,TRUE
